state_key,state,no,constituency_name,reserved,y2021_winner_name,y2021_winner_party,y2016_winner_name,y2016_winner_party
ASSAM,Assam,87,Barhampur,,Jitu Goswami,BJP,Prafulla Kumar Mahanta,AGP
ASSAM,Assam,88,Samaguri,,Rakibul Hussain,INC,Rakibul Hussain,INC
ASSAM,Assam,89,Kaliabor,,Keshab Mahanta,AGP,Keshab Mahanta,AGP
ASSAM,Assam,90,Jamunamukh,,Sirajuddin Ajmal,AIUDF,Abdur Rahim Ajmal,AIUDF
ASSAM,Assam,91,Hojai,,Ramkrishna Ghosh,BJP,Shiladitya Dev,BJP
ASSAM,Assam,92,Lumding,,Sibu Misra,BJP,Sibu Misra,BJP
ASSAM,Assam,93,Bokakhat,,Atul Bora,AGP,Atul Bora,AGP
ASSAM,Assam,94,Sarupathar,,Biswajit Phukan,BJP,Roselina Tirkey,INC
ASSAM,Assam,95,Golaghat,,Ajanta Neog,BJP,Ajanta Neog,INC
ASSAM,Assam,96,Khumtai,,Mrinal Saikia,BJP,Mrinal Saikia,BJP
ASSAM,Assam,97,Dergaon (SC),SC,Bhabendra Nath Bharali,AGP,Bhabendra Nath Bharali,AGP
ASSAM,Assam,98,Jorhat,,Hitendra Nath Goswami,BJP,Hitendra Nath Goswami,BJP
ASSAM,Assam,99,Majuli (ST),ST,Sarbananda Sonowal,BJP,Sarbananda Sonowal,BJP
ASSAM,Assam,100,Titabar,,Bhaskar Jyoti Baruah,INC,Tarun Gogoi,INC
ASSAM,Assam,101,Mariani,,Rupjyoti Kurmi,INC,Rupjyoti Kurmi,INC
ASSAM,Assam,102,Teok,,Renupoma Rajkhowa,AGP,Renupoma Rajkhowa,AGP
ASSAM,Assam,103,Amguri,,Prodip Hazarika,AGP,Prodip Hazarika,AGP
ASSAM,Assam,104,Nazira,,Debabrata Saikia,INC,Debabrata Saikia,INC
ASSAM,Assam,105,Mahmara,,Jogen Mohan,BJP,Jogen Mohan,BJP
ASSAM,Assam,106,Sonari,,Dharmeswar Konwar,BJP,Topon Kumar Gogoi,BJP
ASSAM,Assam,107,Thowra,,Sushanta Borgohain,INC,Kushal Dowari,BJP
ASSAM,Assam,108,Sibsagar,,Akhil Gogoi[e],IND,Pranab Kumar Gogoi,INC
ASSAM,Assam,109,Bihpuria,,Amiya Kumar Bhuyan,BJP,Debananda Hazarika,BJP
ASSAM,Assam,110,Naoboicha,,Bharat Chandra Narah,INC,Mamun Imdadul Haque Chawdhury,AIUDF
ASSAM,Assam,111,Lakhimpur,,Manab Deka,BJP,Utpal Dutta,AGP
ASSAM,Assam,112,Dhakuakhana (ST),ST,Naba Kumar Doley,BJP,Naba Kumar Doley,BJP
ASSAM,Assam,113,Dhemaji (ST),ST,Ranoj Pegu,BJP,Pradan Baruah,BJP
